rho,lam,n,true_mi,true_cmi,mi_mean,mi_floor,cmi_mean,cmi_bias,cmi_floor
0.75,1.0,10000,0.0,0.24212153746160459,9.592629284960477e-06,0.00020862394533501807,0.24182195677612517,-0.00029958068547941696,0.013764831908648092
1.0,0.0,300,0.0,0.0,0.0004072002905264663,0.006559126569554366,0.00038605120417039033,0.00038605120417039033,0.008289915492526041
1.0,0.0,1000,0.0,0.0,1.367946155131252e-05,0.001961406096259893,4.3477529322056066e-05,4.3477529322056066e-05,0.0023314593243327405
1.0,0.0,3000,0.0,0.0,-5.391545214303594e-06,0.0006369990753131438,-7.087350958066033e-06,-7.087350958066033e-06,0.0007367115463539553
1.0,0.0,10000,0.0,0.0,-4.6506779667818005e-06,0.00015538046248117428,-1.5611105556319318e-05,-1.5611105556319318e-05,0.00020467260975735911
1.0,0.25,300,0.0,0.04556599707503495,-0.0002466291887521234,0.004698850300220484,0.04687182978738438,0.0013058327123494293,0.04510399320346651
1.0,0.25,1000,0.0,0.04556599707503495,-0.00016503581617850242,0.0017699577781594054,0.046763478777729545,0.0011974817026945972,0.02287707846317337
1.0,0.25,3000,0.0,0.04556599707503495,6.718532078167977e-06,0.0006189391176104012,0.04453004267961044,-0.0010359543954245043,0.012187887941958991
1.0,0.25,10000,0.0,0.04556599707503495,-1.423292513359764e-07,0.00017534808758673504,0.04548430387011,-8.16932049249458e-05,0.008096923209462984
1.0,0.5,300,0.0,0.18872187554086717,-0.0003846695488261689,0.005993040351294695,0.1885744411064036,-0.00014743443446357807,0.07814492891326344
1.0,0.5,1000,0.0,0.18872187554086717,-1.280822258162246e-05,0.001660071823448335,0.18927861487671904,0.0005567393358518746,0.040744850391737905
1.0,0.5,3000,0.0,0.18872187554086717,3.0103571456833717e-05,0.0007421972525286146,0.18957681052183845,0.0008549349809712781,0.027505781584110586
1.0,0.5,10000,0.0,0.18872187554086717,-1.1788399232956208e-06,0.0001986613495373146,0.18921000881570954,0.0004881332748423728,0.012826502729492512
1.0,0.75,300,0.0,0.4564355568004036,-0.00017269632733108706,0.005526346490709514,0.45614334435553244,-0.00029221244487115383,0.10949421651944238
1.0,0.75,1000,0.0,0.4564355568004036,-0.000163357859642261,0.0012337519275711268,0.4544169634381977,-0.0020185933622058894,0.05976502487649929
1.0,0.75,3000,0.0,0.4564355568004036,-1.1896036540274208e-05,0.0005891434790725661,0.45706505366588246,0.0006294968654788624,0.028442363069893645
1.0,0.75,10000,0.0,0.4564355568004036,7.94548121619411e-06,0.00018316300438735454,0.45623766507322894,-0.00019789172717465942,0.016465831700577527
1.0,1.0,300,0.0,1.0,0.0002164298875662207,0.006431274458274443,1.0004173944603236,0.0004173944603236279,0.006036604188768779
1.0,1.0,1000,0.0,1.0,-0.00010429785893664202,0.0014629171516322196,0.9999872086191459,-1.279138085408249e-05,0.002790746024150803
1.0,1.0,3000,0.0,1.0,-9.265584231500347e-06,0.0006507336973611967,1.0000382557429015,3.825574290150513e-05,0.0007347963162234739
1.0,1.0,10000,0.0,1.0,1.528293296460421e-06,0.000191365143876407,1.0000107989192955,1.0798919295451626e-05,0.00022789524615879353
